run_id,sample_index,PCS_BATTERY_POWER_30050,PCS_INLET_AIR_TEMP_30060,PCS_IGBT_MAX_TEMP_30062
1.00 ,1.00 ,-3.70 ,23.40 ,28.30 
1.00 ,2.00 ,-0.40 ,23.40 ,28.30 
1.00 ,3.00 ,9.90 ,23.40 ,28.30 
1.00 ,4.00 ,21.40 ,23.40 ,28.30 
1.00 ,5.00 ,32.30 ,23.30 ,28.30 
1.00 ,6.00 ,42.80 ,23.30 ,28.30 
1.00 ,7.00 ,53.40 ,23.30 ,28.30 
1.00 ,8.00 ,63.80 ,23.30 ,28.30 
1.00 ,9.00 ,74.30 ,23.20 ,28.30 
1.00 ,10.00 ,80.40 ,23.30 ,28.30 
1.00 ,11.00 ,80.40 ,23.30 ,28.30 
1.00 ,12.00 ,101.40 ,23.30 ,28.30 
1.00 ,13.00 ,101.20 ,23.20 ,28.30 
1.00 ,14.00 ,101.20 ,23.20 ,28.30 
1.00 ,15.00 ,101.20 ,23.20 ,28.30 
1.00 ,16.00 ,101.10 ,23.20 ,28.50 
1.00 ,17.00 ,101.30 ,23.20 ,28.50 
1.00 ,18.00 ,101.50 ,23.20 ,28.50 
1.00 ,19.00 ,101.10 ,23.20 ,28.50 
1.00 ,20.00 ,101.20 ,23.10 ,28.50 
1.00 ,21.00 ,101.30 ,23.10 ,28.50 
1.00 ,22.00 ,101.20 ,23.10 ,28.50 
1.00 ,23.00 ,101.20 ,23.10 ,28.50 
1.00 ,24.00 ,101.20 ,23.00 ,28.50 
1.00 ,25.00 ,101.10 ,23.10 ,28.50 
1.00 ,26.00 ,101.10 ,23.00 ,28.50 
1.00 ,27.00 ,101.00 ,23.00 ,28.70 
1.00 ,28.00 ,100.90 ,23.00 ,28.70 
1.00 ,29.00 ,101.00 ,23.00 ,28.70 
1.00 ,30.00 ,101.00 ,23.00 ,28.70 
1.00 ,31.00 ,101.10 ,23.00 ,28.70 
1.00 ,32.00 ,101.40 ,22.90 ,28.70 
1.00 ,33.00 ,101.10 ,22.90 ,28.70 
1.00 ,34.00 ,100.90 ,22.90 ,28.90 
1.00 ,35.00 ,101.20 ,22.90 ,28.90 
1.00 ,36.00 ,101.10 ,22.90 ,28.90 
1.00 ,37.00 ,101.30 ,22.90 ,28.90 
1.00 ,38.00 ,101.30 ,22.80 ,28.90 
1.00 ,39.00 ,101.10 ,22.80 ,28.90 
1.00 ,40.00 ,100.90 ,22.80 ,28.90 
1.00 ,41.00 ,101.10 ,22.80 ,29.10 
1.00 ,42.00 ,101.20 ,22.80 ,29.10 
1.00 ,43.00 ,101.10 ,22.80 ,29.10 
1.00 ,44.00 ,101.10 ,22.70 ,29.10 
1.00 ,45.00 ,101.00 ,22.70 ,29.10 
1.00 ,46.00 ,100.00 ,22.70 ,29.10 
1.00 ,47.00 ,89.50 ,22.70 ,29.10 
1.00 ,48.00 ,79.00 ,22.70 ,29.10 
1.00 ,49.00 ,68.60 ,22.70 ,29.40 
1.00 ,50.00 ,57.20 ,22.70 ,29.40 
1.00 ,51.00 ,46.80 ,22.70 ,29.40 
1.00 ,52.00 ,40.50 ,22.70 ,29.40 
1.00 ,53.00 ,24.50 ,22.70 ,29.40 
1.00 ,54.00 ,19.80 ,22.70 ,29.40 
1.00 ,55.00 ,2.50 ,22.70 ,29.40 
1.00 ,56.00 ,-3.60 ,22.60 ,29.40 
1.00 ,57.00 ,-19.90 ,22.60 ,29.40 
1.00 ,58.00 ,-25.30 ,22.70 ,29.40 
1.00 ,59.00 ,-36.10 ,22.60 ,29.60 
1.00 ,60.00 ,-46.70 ,22.70 ,29.60 
1.00 ,61.00 ,-58.30 ,22.60 ,29.60 
1.00 ,62.00 ,-63.60 ,22.70 ,29.60 
1.00 ,63.00 ,-63.60 ,22.70 ,29.60 
1.00 ,64.00 ,-89.00 ,22.70 ,29.40 
1.00 ,65.00 ,-101.00 ,22.70 ,29.40 
1.00 ,66.00 ,-109.40 ,22.70 ,29.60 
1.00 ,67.00 ,-109.50 ,22.70 ,29.60 
1.00 ,68.00 ,-109.60 ,22.60 ,29.60 
1.00 ,69.00 ,-109.50 ,22.60 ,29.60 
1.00 ,70.00 ,-109.60 ,22.60 ,29.60 
1.00 ,71.00 ,-106.50 ,22.60 ,29.60 
1.00 ,72.00 ,-101.20 ,22.60 ,29.60 
1.00 ,73.00 ,-84.00 ,22.70 ,29.60 
1.00 ,74.00 ,-78.70 ,22.60 ,29.60 
1.00 ,75.00 ,-62.50 ,22.70 ,29.60 
1.00 ,76.00 ,-57.10 ,22.60 ,29.60 
1.00 ,77.00 ,-46.40 ,22.70 ,29.60 
1.00 ,78.00 ,-35.80 ,22.70 ,29.60 
1.00 ,79.00 ,-24.30 ,22.70 ,29.60 
